"time","signal"
"08JUN17:13:00",1335.8033333
"08JUN17:13:30",1420.4133333
"08JUN17:14:00",1381.2516667
"08JUN17:14:30",1371.165
"08JUN17:15:00",1451.7233333
"08JUN17:15:30",1489.6066667
"08JUN17:16:00",1500.62
"08JUN17:16:30",1514.661667
"08JUN17:17:00",1536.41
"08JUN17:17:30",1515.805
"08JUN17:18:00",1566.778333
"08JUN17:18:30",1526.64
"08JUN17:19:00",1573.708333
"08JUN17:19:30",1524.601667
"08JUN17:20:00",1541.148333
"08JUN17:20:30",1540.838333
"08JUN17:21:00",1538.33
"08JUN17:21:30",1502.566667
"08JUN17:22:00",894.7666667
"08JUN17:22:30",732.4233333
"08JUN17:23:00",746.8283333
"08JUN17:23:30",749.6616667
"09JUN17:00:00",772.3666667
"09JUN17:00:30",971.2516667
"09JUN17:01:00",999.825
"09JUN17:01:30",1003.7183333
"09JUN17:02:00",998.5916667
"09JUN17:02:30",989.1216667
"09JUN17:03:00",945.1216667
"09JUN17:03:30",929.7716667
"09JUN17:04:00",927.4533333
"09JUN17:04:30",943.2966667
"09JUN17:05:00",949.0533333
"09JUN17:05:30",924.1216667
"09JUN17:06:00",931.4483333
"09JUN17:06:30",942.6566667
"09JUN17:07:00",951.13
"09JUN17:07:30",914.0366667
"09JUN17:08:00",996.685
"09JUN17:08:30",989.2716667
"09JUN17:09:00",985.1316667
"09JUN17:09:30",967.205
"09JUN17:10:00",1105.0183333
"09JUN17:10:30",1236.825
"09JUN17:11:00",1445.0633333
"09JUN17:11:30",1436.565
"09JUN17:12:00",1413.27
"09JUN17:12:30",1423.28
"09JUN17:13:00",1441.1233333
"09JUN17:13:30",1491.395
"09JUN17:14:00",1512.491667
"09JUN17:14:30",1559.061667
"09JUN17:15:00",1635.756667
"09JUN17:15:30",1599.03
"09JUN17:16:00",1608.285
"09JUN17:16:30",1627.1
"09JUN17:17:00",1577.593333
"09JUN17:17:30",1570.655
"09JUN17:18:00",1564.086667
"09JUN17:18:30",1593.438333
"09JUN17:19:00",1595.468333
"09JUN17:19:30",1637.815
"09JUN17:20:00",1602.488333
"09JUN17:20:30",1610.051667
"09JUN17:21:00",1571.9
"09JUN17:21:30",1559.611667
"09JUN17:22:00",891.105
"09JUN17:22:30",737.03
"09JUN17:23:00",754.6266667
"09JUN17:23:30",765.165
"12JUN17:00:00",1076.1016667
"12JUN17:00:30",1199.3816667
"12JUN17:01:00",1234.305
"12JUN17:01:30",1233.2066667
"12JUN17:02:00",1219.6516667
"12JUN17:02:30",1220.025
"12JUN17:03:00",1195.6816667
"12JUN17:03:30",1093.005
"12JUN17:04:00",1052.3733333
"12JUN17:04:30",1052.5033333
"12JUN17:05:00",1053.1483333
"12JUN17:05:30",1033.2033333
"12JUN17:06:00",1045.9383333
"12JUN17:06:30",1180.8533333
"12JUN17:07:00",1210.23
"12JUN17:07:30",1391.4416667
"12JUN17:08:00",1424.82
"12JUN17:08:30",1278.7716667
"12JUN17:09:00",1480.495
"12JUN17:09:30",1487.545
"12JUN17:10:00",1549.875
"12JUN17:10:30",1614.783333
"12JUN17:11:00",1648.228333
"12JUN17:11:30",1649.508333
"12JUN17:12:00",1618.195
"12JUN17:12:30",1650.645
"12JUN17:13:00",1723.475
"12JUN17:13:30",1784.81
"12JUN17:14:00",1862.758333
"12JUN17:14:30",1912.545
"12JUN17:15:00",1946.805
"12JUN17:15:30",2047.141667
"12JUN17:16:00",2099.076667
"12JUN17:16:30",2066.016667
"12JUN17:17:00",2071.46
"12JUN17:17:30",2047.083333
"12JUN17:18:00",2059.405
"12JUN17:18:30",2045.175
"12JUN17:19:00",2070.823333
"12JUN17:19:30",2024.841667
"12JUN17:20:00",1982.473333
"12JUN17:20:30",2006.018333
"12JUN17:21:00",1912.308333
"12JUN17:21:30",1937.881667
"12JUN17:22:00",919.1666667
"12JUN17:22:30",758.065
"12JUN17:23:00",775.28
"12JUN17:23:30",774.36
"13JUN17:00:00",790.0733333
"13JUN17:00:30",985.125
"13JUN17:01:00",1019.01
"13JUN17:01:30",1009.3616667
"13JUN17:02:00",1014.41
"13JUN17:02:30",1007.8733333
"13JUN17:03:00",952.0183333
"13JUN17:03:30",944.5966667
"13JUN17:04:00",943.2683333
"13JUN17:04:30",938.02
"13JUN17:05:00",1091.645
"13JUN17:05:30",1096.3466667
"13JUN17:06:00",1303.8916667
"13JUN17:06:30",1307.3516667
"13JUN17:07:00",1117.2
"13JUN17:07:30",1204.255
"13JUN17:08:00",1231.1466667
"13JUN17:08:30",1105.415
"13JUN17:09:00",1149.3433333
"13JUN17:09:30",1122.2516667
"13JUN17:10:00",1430.3283333
"13JUN17:10:30",1405.125
"13JUN17:11:00",1699.145
"13JUN17:11:30",1720.163333
"13JUN17:12:00",1671.156667
"13JUN17:12:30",1592.435
"13JUN17:13:00",1622.465
"13JUN17:13:30",1637.801667
"13JUN17:14:00",1660.708333
"13JUN17:14:30",1702.903333
"13JUN17:15:00",1760.706667
"13JUN17:15:30",1775.513333
"13JUN17:16:00",1885.46
"13JUN17:16:30",1942.793333
"13JUN17:17:00",1901.211667
"13JUN17:17:30",1895.443333
"13JUN17:18:00",2006.386667
"13JUN17:18:30",1932.721667
"13JUN17:19:00",1912.826667
"13JUN17:19:30",1982.065
"13JUN17:20:00",1978.098
"13JUN17:20:30",1990.258333
"13JUN17:21:00",1945.738333
"13JUN17:21:30",1892.831667
"13JUN17:22:00",900.1966667
"13JUN17:22:30",717.4016667
"13JUN17:23:00",737.7066667
"13JUN17:23:30",736.515
"14JUN17:00:00",754.6166667
"14JUN17:00:30",958.9116667
"14JUN17:01:00",978.6016667
"14JUN17:01:30",985.5466667
"14JUN17:02:00",974.4116667
"14JUN17:02:30",975.115
"14JUN17:03:00",922.1516667
"14JUN17:03:30",910.36
"14JUN17:04:00",910.64
"14JUN17:04:30",909.4933333
"14JUN17:05:00",910.4433333
"14JUN17:05:30",971.7616667
"14JUN17:06:00",1160.485
"14JUN17:06:30",1100.0033333
"14JUN17:07:00",1276.4533333
"14JUN17:07:30",1178.6983333
"14JUN17:08:00",1077.5483333
"14JUN17:08:30",1048.0883333
"14JUN17:09:00",1007.1666667
"14JUN17:09:30",942.0733333
"14JUN17:10:00",1381.51
"14JUN17:10:30",1287.555
"14JUN17:11:00",1481.0083333
"14JUN17:11:30",1605.508333
"14JUN17:12:00",1570.408333
"14JUN17:12:30",1607.153333
"14JUN17:13:00",1696.368333
"14JUN17:13:30",1769.715
"14JUN17:14:00",1811.163333
"14JUN17:14:30",1885.475
"14JUN17:15:00",1921.853333
"14JUN17:15:30",1979.01
"14JUN17:16:00",1631.561667
"14JUN17:16:30",1668.34
"14JUN17:17:00",1800.691667
"14JUN17:17:30",1909.47
"14JUN17:18:00",2038.72
"14JUN17:18:30",2007.933333
"14JUN17:19:00",2053.208333
"14JUN17:19:30",2056.718333
"14JUN17:20:00",2034.076667
"14JUN17:20:30",2050.186667
"14JUN17:21:00",2034.071667
"14JUN17:21:30",1971.718333
"14JUN17:22:00",925.5366667
"14JUN17:22:30",753.1333333
"14JUN17:23:00",760.23
"14JUN17:23:30",757.81
"15JUN17:00:00",787.5416667
"15JUN17:00:30",980.9016667
"15JUN17:01:00",1005.745
"15JUN17:01:30",1002.2683333
"15JUN17:02:00",1003.3266667
"15JUN17:02:30",998.88
"15JUN17:03:00",947.0516667
"15JUN17:03:30",928.4883333
"15JUN17:04:00",940.3283333
"15JUN17:04:30",926.8966667
"15JUN17:05:00",933.3833333
"15JUN17:05:30",1093.3533333
"15JUN17:06:00",1279.1466667
"15JUN17:06:30",1263.1816667
"15JUN17:07:00",1239.1566667
"15JUN17:07:30",1055.195
"15JUN17:08:00",1235.74
"15JUN17:08:30",1109.8933333
"15JUN17:09:00",1059.38
"15JUN17:09:30",1008.0316667
"15JUN17:10:00",1328.87
"15JUN17:10:30",1313.365
"15JUN17:11:00",1531.596667
"15JUN17:11:30",1588.85
"15JUN17:12:00",1637.52
"15JUN17:12:30",1651.31
"15JUN17:13:00",1714.988333
"15JUN17:13:30",1778.048333
"15JUN17:14:00",1806.861667
"15JUN17:14:30",1883.113333
"15JUN17:15:00",1904.063333
"15JUN17:15:30",1960.328333
"15JUN17:16:00",1970.361667
"15JUN17:16:30",1951.053333
"15JUN17:17:00",1987.69
"15JUN17:17:30",2012.213333
"15JUN17:18:00",1983.585
"15JUN17:18:30",2005.046667
"15JUN17:19:00",2006.725
"15JUN17:19:30",1979.903333
"15JUN17:20:00",2029.225
"15JUN17:20:30",1993.693333
"15JUN17:21:00",1952.285
"15JUN17:21:30",1849.125
"15JUN17:22:00",883.0066667
"15JUN17:22:30",717.93
"15JUN17:23:00",733.985
"15JUN17:23:30",737.0483333
"16JUN17:00:00",754.635
"16JUN17:00:30",951.3016667
"16JUN17:01:00",976.3433333
"16JUN17:01:30",973.2516667
"16JUN17:02:00",975.575
"16JUN17:02:30",967.9616667
"16JUN17:03:00",915.845
"16JUN17:03:30",898.6816667
"16JUN17:04:00",907.5083333
"16JUN17:04:30",909.4233333
"16JUN17:05:00",919.2933333
"16JUN17:05:30",1204.1733333
"16JUN17:06:00",1532.721667
"16JUN17:06:30",1415.255
"16JUN17:07:00",1318.2333333
"16JUN17:07:30",1152.81
"16JUN17:08:00",958.4666667
"16JUN17:08:30",940.16
"16JUN17:09:00",940.21
"16JUN17:09:30",991.995
"16JUN17:10:00",1330.1433333
"16JUN17:10:30",1290.89
"16JUN17:11:00",1510.538333
"16JUN17:11:30",1633.235
"16JUN17:12:00",1574.105
"16JUN17:12:30",1551.876667
"16JUN17:13:00",1560.34
"16JUN17:13:30",1558.641667
"16JUN17:14:00",1591.728333
"16JUN17:14:30",1697.755
"16JUN17:15:00",1703.075
"16JUN17:15:30",1726.9
"16JUN17:16:00",1705.445
"16JUN17:16:30",1744.928333
"16JUN17:17:00",1803.356667
"16JUN17:17:30",1835.7
"16JUN17:18:00",1874.686667
"16JUN17:18:30",1886.748333
"16JUN17:19:00",1919.66
"16JUN17:19:30",1941.023333
"16JUN17:20:00",1929.598333
"16JUN17:20:30",1915.828333
"16JUN17:21:00",1898.586667
"16JUN17:21:30",1848.003333
"16JUN17:22:00",868.1983333
"16JUN17:22:30",722.8866667
"16JUN17:23:00",729.5866667
"16JUN17:23:30",735.6783333
"19JUN17:00:00",1025.795
"19JUN17:00:30",1127.475
"19JUN17:01:00",1105.255
"19JUN17:01:30",1103.2666667
"19JUN17:02:00",1088.5533333
"19JUN17:02:30",1096.6383333
"19JUN17:03:00",1083.7733333
"19JUN17:03:30",1087.6433333
"19JUN17:04:00",1024.3433333
"19JUN17:04:30",1030.4166667
"19JUN17:05:00",1108.65
"19JUN17:05:30",1145.56
"19JUN17:06:00",1141.265
"19JUN17:06:30",1407.2666667
"19JUN17:07:00",1276.2416667
"19JUN17:07:30",1219.0883333
"19JUN17:08:00",1143.0866667
"19JUN17:08:30",1081.6016667
"19JUN17:09:00",1697.891667
"19JUN17:09:30",1793.34
"19JUN17:10:00",1746.56
"19JUN17:10:30",1687.75
"19JUN17:11:00",1836.161667
"19JUN17:11:30",1836
"19JUN17:12:00",1769.466667
"19JUN17:12:30",1766.601667
"19JUN17:13:00",1758.578333
